ID,gender,pastPurchases,ageGroup,jobIndustry,wealthSegment,ownsCar,tenure,state,propertyValuation,totalSpent
166,Male,50-59,60+,Manufacturing,Affluent Customer,No,04-07,QLD,4,4197.44
167,Female,90-99,50-59,Health,High Net Worth,Yes,16-19,QLD,6,5993.34
169,Male,20-29,60+,Telecommunications,High Net Worth,Yes,04-07,NSW,9,696.26
170,Male,80-89,40-49,Health,High Net Worth,No,20-22,VIC,8,1369.16
171,Female,60-69,50-59,Manufacturing,Mass Customer,No,08-11,NSW,11,4833.14
172,Male,50-59,30-39,Manufacturing,Affluent Customer,Yes,04-07,VIC,4,2348.66
173,Female,90-99,18-29,Health,Affluent Customer,No,00-03,NSW,8,6549.51
174,Female,90-99,30-39,Health,Mass Customer,No,12-15,NSW,9,6348.84
175,Male,30-39,40-49,Manufacturing,Affluent Customer,No,04-07,VIC,11,2170.54
176,Male,30-39,18-29,Property,Mass Customer,No,08-11,NSW,8,3090.07
177,Female,20-29,30-39,Financial Services,High Net Worth,No,04-07,NSW,5,3980.14
178,Male,0-9,50-59,,Affluent Customer,No,08-11,NSW,7,2184.58
179,Male,20-29,50-59,Manufacturing,High Net Worth,Yes,04-07,NSW,9,1814.59
180,Female,10-19,40-49,Argiculture,Affluent Customer,No,12-15,QLD,8,4065.35
181,Female,40-49,30-39,Manufacturing,Mass Customer,No,08-11,VIC,1,2365.24
182,Male,90-99,18-29,Financial Services,Affluent Customer,Yes,04-07,QLD,4,5409.12
183,Female,0-9,18-29,Retail,Affluent Customer,No,00-03,NSW,10,1908.44
184,Male,40-49,40-49,Manufacturing,High Net Worth,Yes,04-07,NSW,1,2181.35
185,Male,80-89,40-49,Property,Mass Customer,Yes,12-15,NSW,5,3547.68
186,Female,40-49,40-49,Financial Services,Mass Customer,No,00-03,QLD,7,2166.17
187,Male,90-99,60+,,Mass Customer,No,08-11,NSW,10,3014.88
188,Female,50-59,40-49,Property,High Net Worth,Yes,12-15,NSW,11,2658.87
189,Male,70-79,30-39,Financial Services,Affluent Customer,No,08-11,VIC,4,5329.98
190,Female,40-49,40-49,Health,Affluent Customer,No,08-11,NSW,9,699.48
191,Male,20-29,60+,,Affluent Customer,Yes,04-07,NSW,7,834.94
192,Female,0-9,40-49,Health,Mass Customer,Yes,08-11,VIC,6,1519.47
193,Male,10-19,50-59,Manufacturing,Mass Customer,Yes,12-15,QLD,7,2551.5
194,Female,0-9,40-49,Financial Services,Affluent Customer,No,08-11,QLD,5,2608.28
195,Female,30-39,60+,Manufacturing,Mass Customer,No,04-07,VIC,9,9633.41
196,Male,90-99,50-59,Manufacturing,High Net Worth,No,04-07,NSW,8,3738.0
197,Female,30-39,40-49,,High Net Worth,No,04-07,NSW,12,2059.52
198,Female,80-89,30-39,Entertainment,Mass Customer,No,16-19,VIC,7,5039.68
199,Female,60-69,40-49,Health,Mass Customer,Yes,20-22,NSW,8,2650.53
200,Male,0-9,60+,Property,Affluent Customer,Yes,16-19,QLD,2,7283.86
201,Male,40-49,50-59,Manufacturing,Mass Customer,Yes,08-11,NSW,9,4159.18
202,Female,30-39,50-59,Entertainment,Affluent Customer,Yes,16-19,QLD,5,1295.91
203,Male,70-79,50-59,Argiculture,Mass Customer,Yes,08-11,NSW,11,1481.12
204,Male,50-59,40-49,Financial Services,Mass Customer,No,04-07,VIC,10,4695.1
205,Male,10-19,60+,Financial Services,Mass Customer,Yes,04-07,VIC,9,2008.27
206,Female,90-99,60+,,Mass Customer,Yes,12-15,NSW,9,3816.65
207,Female,0-9,18-29,,Mass Customer,No,04-07,QLD,8,1630.03
208,Male,50-59,18-29,Property,High Net Worth,No,04-07,QLD,7,2062.62
209,Male,0-9,60+,,Affluent Customer,Yes,04-07,NSW,11,3081.07
210,Male,50-59,50-59,Property,Mass Customer,No,16-19,VIC,9,2957.03
211,Female,0-9,40-49,Manufacturing,Mass Customer,Yes,04-07,NSW,10,4090.05
212,Female,20-29,18-29,IT,Affluent Customer,No,00-03,QLD,4,198.22
213,Male,10-19,18-29,Financial Services,High Net Worth,Yes,04-07,QLD,4,8544.5
214,Male,80-89,60+,Health,Mass Customer,No,04-07,QLD,9,2498.84
215,Female,30-39,40-49,Retail,High Net Worth,Yes,16-19,QLD,3,3889.39
216,Female,10-19,18-29,Financial Services,High Net Worth,Yes,04-07,NSW,10,559.86
217,Female,60-69,40-49,Manufacturing,High Net Worth,No,16-19,NSW,11,2335.69
218,Female,30-39,18-29,Property,High Net Worth,Yes,08-11,NSW,8,1476.17
219,Male,0-9,50-59,Health,Mass Customer,No,04-07,NSW,8,1688.33
220,Female,70-79,60+,Manufacturing,High Net Worth,No,08-11,VIC,8,3024.71
221,Female,10-19,40-49,Manufacturing,Mass Customer,No,12-15,NSW,8,3865.68
222,Male,80-89,40-49,Health,Mass Customer,No,16-19,NSW,11,1428.06
223,Male,10-19,30-39,,Affluent Customer,Yes,12-15,NSW,7,4410.07
224,Male,0-9,50-59,Financial Services,Affluent Customer,No,16-19,NSW,12,2461.79
225,Female,80-89,40-49,Health,Affluent Customer,No,12-15,NSW,9,1587.55
226,Male,90-99,40-49,Manufacturing,Mass Customer,No,20-22,NSW,7,1173.86
227,Male,90-99,40-49,Entertainment,Mass Customer,No,16-19,NSW,9,3906.03
228,Female,50-59,30-39,Manufacturing,High Net Worth,No,12-15,NSW,7,2127.56
229,Male,30-39,50-59,Property,High Net Worth,No,16-19,NSW,10,1811.84
230,Female,70-79,60+,Property,High Net Worth,No,08-11,NSW,11,4745.01
231,Male,40-49,18-29,Financial Services,Mass Customer,Yes,00-03,NSW,10,2344.52
232,Female,90-99,30-39,Retail,Mass Customer,No,12-15,NSW,9,3157.59
233,Male,30-39,30-39,Property,Mass Customer,No,12-15,NSW,10,2187.09
234,Female,70-79,50-59,Retail,High Net Worth,No,12-15,NSW,10,3204.33
235,Female,30-39,40-49,Health,Mass Customer,No,12-15,NSW,8,4685.82
236,Male,70-79,60+,Health,Affluent Customer,No,12-15,VIC,2,842.45
237,Male,10-19,40-49,Property,High Net Worth,Yes,08-11,NSW,11,3635.04
238,Male,50-59,30-39,,Mass Customer,Yes,12-15,NSW,8,3112.57
239,Male,60-69,18-29,Health,Affluent Customer,No,00-03,QLD,3,5928.23
240,Male,40-49,30-39,IT,High Net Worth,Yes,12-15,NSW,9,1893.0
241,Male,90-99,30-39,Entertainment,Mass Customer,No,20-22,QLD,7,1922.82
242,Male,10-19,18-29,Property,Affluent Customer,No,08-11,NSW,9,2558.7
243,Female,90-99,40-49,Manufacturing,High Net Worth,Yes,12-15,NSW,8,2193.55
244,Male,50-59,40-49,Retail,Affluent Customer,No,08-11,VIC,6,3269.2
245,Female,0-9,18-29,Financial Services,Affluent Customer,No,00-03,VIC,1,2213.02
246,Female,60-69,18-29,Manufacturing,High Net Worth,No,08-11,QLD,5,3174.16
247,Female,60-69,30-39,Financial Services,High Net Worth,Yes,12-15,NSW,4,4913.16
248,Female,70-79,40-49,Health,Affluent Customer,Yes,12-15,NSW,10,3059.94
249,Male,60-69,18-29,IT,High Net Worth,No,08-11,NSW,11,2236.13
250,Male,50-59,30-39,Health,Mass Customer,Yes,12-15,NSW,10,4019.05
251,Female,80-89,40-49,Financial Services,Affluent Customer,Yes,08-11,NSW,8,1210.0
252,Female,30-39,30-39,Property,Mass Customer,Yes,12-15,NSW,7,2597.64
253,Female,80-89,18-29,Health,Mass Customer,Yes,00-03,NSW,7,1116.15
254,Female,90-99,50-59,Retail,Mass Customer,No,12-15,VIC,1,5501.55
255,Female,0-9,60+,IT,Mass Customer,No,04-07,VIC,2,5534.42
256,Female,10-19,40-49,Health,High Net Worth,Yes,20-22,NSW,7,1728.66
257,Female,70-79,50-59,Manufacturing,Affluent Customer,Yes,16-19,NSW,5,3650.53
258,Female,20-29,18-29,Manufacturing,High Net Worth,No,08-11,NSW,6,1642.58
259,Female,70-79,30-39,Health,High Net Worth,Yes,00-03,NSW,6,2124.65
260,Female,40-49,40-49,Health,High Net Worth,Yes,20-22,QLD,2,3381.41
261,Male,70-79,40-49,,Mass Customer,No,08-11,NSW,1,4033.15
262,Male,90-99,40-49,Health,High Net Worth,Yes,08-11,NSW,10,2117.86
263,Female,80-89,30-39,Health,High Net Worth,No,04-07,NSW,9,3476.94
264,Male,30-39,40-49,Health,Mass Customer,No,08-11,NSW,10,198.14
265,Male,70-79,50-59,Retail,High Net Worth,Yes,16-19,VIC,9,2692.91
266,Female,60-69,30-39,Retail,Affluent Customer,No,16-19,NSW,10,1742.83
268,Female,60-69,40-49,Manufacturing,Mass Customer,No,08-11,NSW,9,2713.19
269,Male,50-59,60+,Property,Mass Customer,Yes,08-11,VIC,7,1668.85
270,Female,30-39,50-59,,Mass Customer,Yes,16-19,VIC,10,4625.21
271,Female,50-59,18-29,Financial Services,Mass Customer,No,04-07,QLD,2,1026.27
272,Female,20-29,30-39,Retail,Mass Customer,Yes,00-03,NSW,12,3842.07
273,Male,50-59,50-59,,Mass Customer,No,16-19,VIC,9,6519.24
274,Female,60-69,40-49,Health,Mass Customer,Yes,12-15,VIC,8,790.06
275,Male,0-9,60+,Health,High Net Worth,No,12-15,NSW,4,4141.68
276,Female,40-49,30-39,Financial Services,Mass Customer,No,20-22,VIC,8,1107.95
277,Female,60-69,60+,,High Net Worth,No,12-15,QLD,8,1967.13
278,Male,20-29,18-29,,Affluent Customer,Yes,04-07,NSW,12,827.16
279,Female,0-9,30-39,Manufacturing,Mass Customer,No,08-11,NSW,11,1176.53
280,Male,10-19,18-29,,Affluent Customer,Yes,04-07,NSW,8,7360.53
281,Female,50-59,40-49,Financial Services,High Net Worth,Yes,08-11,NSW,6,2233.67
282,Male,80-89,30-39,Argiculture,High Net Worth,Yes,08-11,QLD,5,624.15
283,Female,30-39,18-29,Retail,Mass Customer,No,00-03,QLD,6,3647.17
284,Male,30-39,30-39,Financial Services,High Net Worth,Yes,08-11,NSW,11,3251.42
285,Female,0-9,40-49,Manufacturing,Mass Customer,No,12-15,NSW,12,2626.74
286,Male,90-99,30-39,Manufacturing,Affluent Customer,Yes,08-11,QLD,7,1737.19
287,Female,40-49,30-39,Manufacturing,Affluent Customer,No,04-07,NSW,8,0.0
288,Male,70-79,30-39,Manufacturing,High Net Worth,No,08-11,VIC,7,1808.73
289,Female,40-49,50-59,Health,High Net Worth,No,08-11,NSW,9,3924.11
291,Female,60-69,40-49,Entertainment,Mass Customer,No,04-07,VIC,5,605.01
292,Female,40-49,50-59,,Affluent Customer,Yes,08-11,QLD,8,3631.6
293,Male,80-89,30-39,Manufacturing,Mass Customer,Yes,20-22,NSW,2,1991.93
294,Male,30-39,60+,,High Net Worth,No,04-07,VIC,7,5509.67
295,Female,60-69,50-59,,Mass Customer,Yes,16-19,QLD,6,2947.71
296,Male,30-39,40-49,Health,High Net Worth,Yes,16-19,NSW,8,2515.29
297,Female,30-39,60+,Manufacturing,High Net Worth,No,16-19,VIC,7,3599.18
298,Male,60-69,60+,Manufacturing,High Net Worth,No,08-11,VIC,8,5285.59
299,Female,80-89,60+,Financial Services,Mass Customer,Yes,04-07,NSW,9,6897.92
300,Male,80-89,60+,Health,Mass Customer,No,08-11,VIC,9,3475.9
301,Female,50-59,40-49,Manufacturing,High Net Worth,No,16-19,NSW,7,89.71
302,Female,30-39,40-49,Health,Mass Customer,No,12-15,QLD,7,255.41
303,Female,50-59,40-49,Argiculture,Mass Customer,Yes,12-15,NSW,9,3247.08
304,Male,30-39,50-59,Manufacturing,Mass Customer,Yes,12-15,NSW,11,2785.04
305,Female,0-9,40-49,Financial Services,Mass Customer,No,08-11,NSW,4,2700.88
306,Male,10-19,40-49,Health,High Net Worth,No,16-19,VIC,3,239.35
307,Male,50-59,30-39,Health,Affluent Customer,Yes,12-15,VIC,9,3465.61
308,Male,0-9,30-39,IT,High Net Worth,No,04-07,VIC,5,4086.21
309,Female,50-59,40-49,Health,Mass Customer,Yes,20-22,VIC,7,2208.58
310,Female,0-9,30-39,Financial Services,Mass Customer,Yes,16-19,NSW,9,4744.19
311,Female,80-89,60+,Health,High Net Worth,No,12-15,NSW,10,4054.48
312,Male,40-49,60+,Financial Services,Affluent Customer,Yes,04-07,NSW,10,3409.52
313,Male,70-79,30-39,Manufacturing,Mass Customer,Yes,12-15,VIC,8,3186.63
314,Female,20-29,50-59,Retail,High Net Worth,Yes,04-07,VIC,3,3200.15
315,Female,60-69,60+,Manufacturing,Affluent Customer,No,12-15,VIC,10,2200.11
316,Female,70-79,40-49,Manufacturing,Mass Customer,Yes,08-11,VIC,7,2158.71
317,Female,20-29,40-49,Entertainment,Mass Customer,Yes,12-15,NSW,10,3537.39
318,Female,20-29,50-59,Retail,Affluent Customer,Yes,16-19,NSW,2,3632.18
319,Female,30-39,40-49,Retail,Mass Customer,Yes,12-15,NSW,8,2676.51
320,Male,10-19,18-29,Health,Mass Customer,No,04-07,QLD,2,7204.66
321,Female,50-59,40-49,,Mass Customer,No,16-19,QLD,5,2006.18
322,Female,10-19,40-49,Financial Services,Mass Customer,Yes,08-11,QLD,6,7469.98
323,Female,50-59,40-49,Health,Mass Customer,Yes,04-07,QLD,9,2020.73
324,Male,90-99,30-39,IT,Mass Customer,Yes,12-15,NSW,9,500.3
325,Female,90-99,40-49,Financial Services,Affluent Customer,Yes,16-19,QLD,8,4465.08
326,Female,70-79,40-49,Financial Services,Mass Customer,No,04-07,NSW,10,1201.25
327,Female,10-19,50-59,Health,Mass Customer,No,12-15,QLD,8,3498.63
328,Female,80-89,18-29,Manufacturing,Mass Customer,No,12-15,VIC,8,2357.8
329,Male,20-29,30-39,Entertainment,High Net Worth,Yes,12-15,VIC,4,2025.82
330,Male,70-79,60+,Manufacturing,High Net Worth,Yes,04-07,NSW,9,5296.8
331,Male,80-89,18-29,Health,Mass Customer,Yes,00-03,NSW,8,4404.67
332,Female,20-29,40-49,Health,High Net Worth,No,12-15,QLD,8,239.35
333,Female,20-29,50-59,Financial Services,Affluent Customer,Yes,08-11,QLD,5,3320.1
334,Female,70-79,18-29,Financial Services,Affluent Customer,Yes,00-03,VIC,2,2127.59
335,Female,20-29,30-39,,Affluent Customer,No,08-11,VIC,6,456.99
336,Female,90-99,40-49,Manufacturing,High Net Worth,No,00-03,VIC,8,2598.16
